Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
lru_cache.exe|a2edb8612ab2954941ffd606394fdb55|332|224|263|2|28|23552|45056|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|191928|3|0|2097152|4096|1048576|4096|0|16|13|2.60080857809|0.0|6.0158542562|4214.15384615|0|23552|3905.07692308|24|23280|5|72|0|0|0|0|0|0|0|0|0|0|0|1
bead_sort.exe|dbedde963831575617426a9faa9d8069|332|224|263|2|28|12288|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|47705|3|0|2097152|4096|1048576|4096|0|16|13|2.57532498019|0.0|6.05576020224|2244.92307692|0|12288|1940.76923077|24|11812|5|56|0|0|0|0|0|0|0|0|0|0|0|1
gcd_iterative_euclidean.exe|7b010cc380f1b01c7b705484879fa60c|332|224|263|2|28|12288|20992|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|91646|3|0|2097152|4096|1048576|4096|0|16|13|2.60534234732|0.0|6.12242991299|2363.07692308|0|12288|2049.38461538|24|12064|5|70|0|0|0|0|0|0|0|0|0|0|0|1
power_of_two.exe|7fed8c5fa804c3f67ecded98f9fd4f3f|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|55955|3|0|2097152|4096|1048576|4096|0|16|13|2.6301268569|0.0|6.05281063016|2323.69230769|0|12288|2014.92307692|24|11848|5|62|0|0|0|0|0|0|0|0|0|0|0|1
prime_factorization.exe|be60fceb76f833ec6b711fa101f3fad5|332|224|263|2|28|17408|31744|1000448|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|1085440|1024|136592|3|0|2097152|4096|1048576|4096|0|16|13|2.64018761799|0.0|6.09680001804|3190.15384615|0|17408|79828.1538462|24|1000176|5|72|0|0|0|0|0|0|0|0|0|0|0|1
power_for_huge_numbers.exe|a5ae4c7083a6c3a3885aebcbdcd4d4af|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|63249|3|0|2097152|4096|1048576|4096|0|16|13|2.61544495274|0.0|6.13482112277|2284.30769231|0|12288|1988.15384615|24|11976|5|59|0|0|0|0|0|0|0|0|0|0|0|1
integral_approximation2.exe|3158fe0805fc161441284fd256dc239b|332|224|263|2|28|23040|40960|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|90112|1024|112710|3|0|2097152|4096|1048576|4096|0|16|13|2.69455812599|0.0|6.11698644759|3899.07692308|0|23040|3628.46153846|24|22732|5|76|0|0|0|0|0|0|0|0|0|0|0|1
integral_approximation.exe|130fadb042f05941dea88fa8d3ebe3b6|332|224|263|2|28|17408|29696|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|113481|3|0|2097152|4096|1048576|4096|0|16|13|2.70438420176|0.0|6.20697191388|3032.61538462|0|17408|2755.23076923|24|17308|5|68|0|0|0|0|0|0|0|0|0|0|0|1
word_break.exe|c4347e316ba888aec87d7355348fe0d6|332|224|263|2|28|23040|44544|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|175017|3|0|2097152|4096|1048576|4096|0|16|13|2.66410705139|0.0|6.05705750829|4174.76923077|0|23040|3900.46153846|24|22904|5|84|0|0|0|0|0|0|0|0|0|0|0|1
pigeonhole_sort.exe|8413c10b2fb086c6daf19e71e943e4e3|332|224|263|2|28|14848|24576|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|112562|3|0|2097152|4096|1048576|4096|0|16|13|2.67780004883|0.0|6.15760471887|2638.76923077|0|14848|2394.30769231|24|14808|5|62|0|0|0|0|0|0|0|0|0|0|0|1
sha1.exe|6106f56483f8d811e1d206bf130c093b|332|224|263|2|28|17920|30208|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|134413|3|0|2097152|4096|1048576|4096|0|16|13|2.74153867023|0.0|6.11866105539|3072.0|0|17920|2799.23076923|24|17504|5|79|0|0|0|0|0|0|0|0|0|0|0|1
linear_recurrence_matrix.exe|5d05ff8aa4625f863868469ccc1633a3|332|224|263|2|28|27648|46592|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|94208|1024|138628|3|0|2097152|4096|1048576|4096|0|16|13|2.63541007466|0.0|6.05448884555|4332.30769231|0|27648|4062.0|24|27212|5|65|0|0|0|0|0|0|0|0|0|0|0|1
addition_rule.exe|4da74b76325441b16f0740784e037345|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|53576|3|0|2097152|4096|1048576|4096|0|16|13|2.6277494569|0.0|6.16249445286|2244.92307692|0|11776|1962.30769231|24|11608|5|59|0|0|0|0|0|0|0|0|0|0|0|1
kruskals_minimum_spanning_tree.exe|3d7debcb190ad0e5aefc2562267ef35e|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|57243|3|0|2097152|4096|1048576|4096|0|16|13|2.67159277411|0.0|6.08467884501|2284.30769231|0|12288|2013.07692308|24|11912|5|59|0|0|0|0|0|0|0|0|0|0|0|1
kruskal.exe|277644dbeaadfec8b216ec4cc47a66f6|332|224|263|2|28|20480|35328|8000512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|8085504|1024|140582|3|0|2097152|4096|1048576|4096|0|16|13|2.63358916475|0.0|6.1369578026|3465.84615385|0|20480|618590.615385|24|8000208|5|70|0|0|0|0|0|0|0|0|0|0|0|1
approximate_pi.exe|fdb125fdacf191a2969d0e8ab4c6746a|332|224|263|2|28|14336|25600|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|97522|3|0|2097152|4096|1048576|4096|0|16|13|2.59878560913|0.0|6.18507539976|2717.53846154|0|14336|2434.0|24|14284|5|69|0|0|0|0|0|0|0|0|0|0|0|1
dsu_path_compression.exe|446e94b2e221c25a60d29305d2fbb776|332|224|263|2|28|20480|35840|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|148284|3|0|2097152|4096|1048576|4096|0|16|13|2.57167062437|0.0|6.0307229885|3505.23076923|0|20480|3162.61538462|24|20060|5|70|0|0|0|0|0|0|0|0|0|0|0|1
skip_list.exe|7ce57e40ac69172270d79ae326e8e13f|332|224|263|2|28|22016|40960|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|174984|3|0|2097152|4096|1048576|4096|0|16|13|2.65653696111|0.0|6.06499836854|3899.07692308|0|22016|3615.84615385|24|21876|5|76|0|0|0|0|0|0|0|0|0|0|0|1
max_flow_with_ford_fulkerson_and_edmond_karp_algo.exe|03313eb9e07b5567a2c71c419ab41b3b|332|224|263|2|28|33792|65536|512|4832|4096|40960|4194304|4096|512|4|0|1|0|4|0|118784|1024|259463|3|0|2097152|4096|1048576|4096|0|16|13|2.66138863017|0.0|5.96396993219|5789.53846154|0|33792|5536.46153846|24|33680|5|72|0|0|0|0|0|0|0|0|0|0|0|1
radix_sort.exe|a98bf48d4ee437800069769bc028ac13|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|69763|3|0|2097152|4096|1048576|4096|0|16|13|2.57342205037|0.0|6.18849538452|2323.69230769|0|12288|2019.53846154|24|12248|5|64|0|0|0|0|0|0|0|0|0|0|0|1
sieve_of_eratosthenes.exe|978b55327d986ae02147fe81856776fe|332|224|263|2|28|15872|28672|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|96743|3|0|2097152|4096|1048576|4096|0|16|13|2.58879109928|0.0|6.16562288209|2953.84615385|0|15872|2642.0|24|15748|5|65|0|0|0|0|0|0|0|0|0|0|0|1
hopcroft_karp.exe|b08f6e8a36c83a4116b8b2f428160f9e|332|224|263|2|28|25600|47104|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|98304|1024|193995|3|0|2097152|4096|1048576|4096|0|16|13|2.61046277601|0.0|6.00340278859|4371.69230769|0|25600|4111.23076923|24|25500|5|70|0|0|0|0|0|0|0|0|0|0|0|1
check_factorial.exe|9e2b7ae0a9dbe88ba4e802121f5c32ba|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|87445|3|0|2097152|4096|1048576|4096|0|16|13|2.59020626815|0.0|6.09702621443|2323.69230769|0|12288|2007.53846154|24|11992|5|59|0|0|0|0|0|0|0|0|0|0|0|1
hamming_distance.exe|e8a93e8198f6a7ab5248d6a29be921f1|332|224|263|2|28|14336|23552|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|71131|3|0|2097152|4096|1048576|4096|0|16|13|2.64787243866|0.0|6.10710614559|2560.0|0|14336|2250.0|24|14060|5|68|0|0|0|0|0|0|0|0|0|0|0|1
partition_problem.exe|3dc3d6322277371ad80bc4d62c50e361|332|224|263|2|28|18944|34304|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|154398|3|0|2097152|4096|1048576|4096|0|16|13|2.62159438405|0.0|6.12260172216|3387.07692308|0|18944|3108.76923077|24|18696|5|66|0|0|0|0|0|0|0|0|0|0|0|1
free-mp4-mp3-converter-setup.exe|7f52ae3f1bbb012704b84aac255d6d4a|332|224|271|6|0|24064|164864|1024|12538|4096|28672|4194304|4096|512|4|0|6|0|4|0|249856|1024|22238175|2|32768|1048576|4096|1048576|4096|0|16|5|4.45835763678|0.0|6.4401055495|9420.8|0|24064|47369.6|4764|154712|8|155|1|0|13|4.23796160367|2.56193367224|6.26611549455|1241.07692308|104|4264|0|0|1
exponential_search.exe|65232648687bcc310dae8b4c8f7adc01|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|91915|3|0|2097152|4096|1048576|4096|0|16|13|2.64862644941|0.0|6.09613105609|2284.30769231|0|12288|1997.38461538|24|11992|5|58|0|0|0|0|0|0|0|0|0|0|0|1
text_search.exe|13aa957610f25051614a518c4988d532|332|224|263|2|28|13824|23552|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|89559|3|0|2097152|4096|1048576|4096|0|16|13|2.68325254524|0.0|6.10755899615|2560.0|0|13824|2268.15384615|24|13616|5|80|0|0|0|0|0|0|0|0|0|0|0|1
longest_common_subsequence.exe|e0bcb267e5ce77042eaf838b8639836f|332|224|263|2|28|13312|21504|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|98963|3|0|2097152|4096|1048576|4096|0|16|13|2.63125884814|0.0|6.1887077831|2402.46153846|0|13312|2117.38461538|24|13152|5|66|0|0|0|0|0|0|0|0|0|0|0|1
pdfcompressor-setup.exe|6af98bc025bea3b21f4af21a5d18df1b|332|224|33167|2|25|41984|17920|0|43728|4096|49152|4194304|4096|512|1|0|6|0|4|0|86016|1024|5239795|2|33088|1048576|16384|1048576|4096|0|16|8|2.33070379968|0.0|6.60167423509|7168.0|0|41984|7733.0|8|41480|8|98|0|0|14|3.46667764841|2.64576300669|5.13965300125|736.0|44|2216|0|0|1
quick_sort.exe|0a569e25a8deabac1836f112de0c871e|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|48523|3|0|2097152|4096|1048576|4096|0|16|13|2.64920928035|0.0|6.10979419085|2284.30769231|0|12288|2006.0|24|12024|5|62|0|0|0|0|0|0|0|0|0|0|0|1
subset_sum.exe|56f598663ab1f1206d86e718a60f3bce|332|224|263|2|28|14848|26112|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|107122|3|0|2097152|4096|1048576|4096|0|16|13|2.61879377985|0.0|6.10628291369|2756.92307692|0|14848|2445.38461538|24|14500|5|65|0|0|0|0|0|0|0|0|0|0|0|1
count_inversions.exe|a748d630c6deb9e0facedde75a52fc52|332|224|263|2|28|31744|61440|512|4832|4096|36864|4194304|4096|512|4|0|1|0|4|0|110592|1024|208055|3|0|2097152|4096|1048576|4096|0|16|13|2.5409933078|0.0|5.91765682732|5474.46153846|0|31744|5167.84615385|24|31352|5|71|0|0|0|0|0|0|0|0|0|0|0|1
stairs_pattern.exe|04434e392c3b86b5effed9b9b626d54e|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|69169|3|0|2097152|4096|1048576|4096|0|16|13|2.6119819737|0.0|6.12446367803|2244.92307692|0|11776|1951.23076923|24|11528|5|60|0|0|0|0|0|0|0|0|0|0|0|1
myTunesReduxInstaller1.exe|4edb7a77592aac140c44a769e7a08e04|332|224|33167|2|25|35328|18944|0|37476|4096|40960|4194304|4096|512|1|0|0|0|4|0|81920|1024|0|2|0|1048576|16384|1048576|4096|0|16|8|2.21562844947|0.0|6.58458678954|6784.0|0|35328|7308.25|8|35228|8|89|0|0|10|3.21756915597|1.91924070464|4.86457827095|1395.5|20|9640|0|0|1
primality_test.exe|5661bead9b3243c2ad5be6a61eb2da1b|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|75763|3|0|2097152|4096|1048576|4096|0|16|13|2.63047722484|0.0|6.17320156946|2244.92307692|0|11776|1969.38461538|24|11672|5|61|0|0|0|0|0|0|0|0|0|0|0|1
coin_change_topdown.exe|bccd64b732b428a7b10eae15ed5d675a|332|224|263|2|28|15872|28160|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|104721|3|0|2097152|4096|1048576|4096|0|16|13|2.64804275487|0.0|6.10264546169|2914.46153846|0|15872|2622.92307692|24|15520|5|63|0|0|0|0|0|0|0|0|0|0|0|1
knight_tour.exe|dcee1aa8c3468fc5b36986353aa82faa|332|224|263|2|28|12800|20480|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|70907|3|0|2097152|4096|1048576|4096|0|16|13|2.6242374341|0.0|6.07479621941|2323.69230769|0|12800|2048.46153846|24|12456|5|57|0|0|0|0|0|0|0|0|0|0|0|1
WinMend-Folder-Hidden.exe|c8210bda0c106a68f8eeda79b718ceb9|332|224|33167|2|25|36864|16896|0|38896|4096|40960|4194304|4096|512|1|0|0|0|4|0|77824|1024|0|2|0|1048576|16384|1048576|4096|0|16|8|2.28246018479|0.0|6.57622930147|6400.0|0|36864|6958.25|8|36628|8|95|0|0|14|3.44618070731|2.64576300669|4.86457827095|651.785714286|44|2216|0|0|1
manacher_algorithm.exe|38768e82f62ceb571f05a0948eddbb96|332|224|263|2|28|18432|30720|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|128438|3|0|2097152|4096|1048576|4096|0|16|13|2.72040839034|0.0|6.0759718311|3111.38461538|0|18432|2822.0|24|17972|5|84|0|0|0|0|0|0|0|0|0|0|0|1
ode_midpoint_euler.exe|3bfddd67fe9e30d762bb6ece1d7a3636|332|224|263|2|28|15360|25600|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|68782|3|0|2097152|4096|1048576|4096|0|16|13|2.68817407249|0.0|6.14719549837|2717.53846154|0|15360|2464.46153846|24|15120|5|74|0|0|0|0|0|0|0|0|0|0|0|1
BootableUSBCreatorSetup.exe|61aa5dc38f079a1aa5d9e10273da0292|332|224|33167|2|25|37888|17920|0|40000|4096|45056|4194304|4096|512|1|0|6|0|4|0|81920|1024|0|2|32768|1048576|16384|1048576|4096|0|16|8|2.30377767127|0.0|6.56223225793|6656.0|0|37888|7236.0|8|37732|8|96|0|0|14|3.46783593023|2.64576300669|5.05007355156|717.142857143|44|2216|0|0|1
rungekutta.exe|654379ed88f8ec58eaa897804fcb1646|332|224|263|2|28|14336|24064|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|112954|3|0|2097152|4096|1048576|4096|0|16|13|2.66463621187|0.0|6.16736349959|2599.38461538|0|14336|2333.69230769|24|14060|5|62|0|0|0|0|0|0|0|0|0|0|0|1
fibonacci_fast.exe|3e99ae10f76f5b3f52b5c04e9996716e|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|74947|3|0|2097152|4096|1048576|4096|0|16|13|2.63761611018|0.0|6.1675173104|2244.92307692|0|11776|1968.76923077|24|11656|5|60|0|0|0|0|0|0|0|0|0|0|0|1
modular_division.exe|579fda06d24c633bc041ef241f6353b4|332|224|263|2|28|13312|20992|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|53088|3|0|2097152|4096|1048576|4096|0|16|13|2.67153243271|0.0|6.07299001155|2363.07692308|0|13312|2079.23076923|24|12904|5|60|0|0|0|0|0|0|0|0|0|0|0|1
primes_up_to_billion.exe|575085872878fa4ac63072aae3584565|332|224|263|2|28|11776|19456|100000256|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|100069376|1024|91316|3|0|2097152|4096|1048576|4096|0|16|13|2.64425048993|0.0|6.24211817534|2244.92307692|0|11776|7694262.92308|24|100000144|5|59|0|0|0|0|0|0|0|0|0|0|0|1
binary_search_tree2.exe|dec3b83b3c0340399359b329d3e56f27|332|224|263|2|28|26112|46592|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|98304|1024|160885|3|0|2097152|4096|1048576|4096|0|16|13|2.66303685456|0.0|6.03855030244|4332.30769231|0|26112|4086.0|24|26092|5|73|0|0|0|0|0|0|0|0|0|0|0|1
hash_search.exe|fb3e57aa55f438e1c75dbcd760b64b1f|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|46496|3|0|2097152|4096|1048576|4096|0|16|13|2.65223020956|0.0|6.1314491273|2284.30769231|0|12288|2011.53846154|24|12056|5|59|0|0|0|0|0|0|0|0|0|0|0|1
test_stack_students.exe|7a78dc7bd5c05c42911718d401082cc8|332|224|263|2|28|13312|23040|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|84308|3|0|2097152|4096|1048576|4096|0|16|13|2.70226322457|0.0|6.15946281686|2520.61538462|0|13312|2256.15384615|24|13140|5|77|0|0|0|0|0|0|0|0|0|0|0|1
prefix_sum_array.exe|926947a1ccae1d4ca4d8660df447cb13|332|224|263|2|28|16896|30720|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|110073|3|0|2097152|4096|1048576|4096|0|16|13|2.59609000434|0.0|6.1248257888|3111.38461538|0|16896|2817.69230769|24|16740|5|65|0|0|0|0|0|0|0|0|0|0|0|1
sudoku_solve.exe|e0f085d1a834032e060872a69d969173|332|224|263|2|28|13312|21504|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|53830|3|0|2097152|4096|1048576|4096|0|16|13|2.66753775594|0.0|6.07641880019|2402.46153846|0|13312|2127.84615385|24|12840|5|60|0|0|0|0|0|0|0|0|0|0|0|1
union_of_two_arrays.exe|0ca85ad05ab40611c709285a4073093d|332|224|263|2|28|23040|40448|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|90112|1024|141832|3|0|2097152|4096|1048576|4096|0|16|13|2.59199560004|0.0|6.10361565525|3859.69230769|0|23040|3562.0|24|22952|5|69|0|0|0|0|0|0|0|0|0|0|0|1
fibonacci.exe|4143d8b911ed947ba91b67472287d8ba|332|224|263|2|28|12800|20992|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|51204|3|0|2097152|4096|1048576|4096|0|16|13|2.61218696354|0.0|6.07253123119|2363.07692308|0|12800|2050.0|24|12392|5|63|0|0|0|0|0|0|0|0|0|0|0|1
count_of_trailing_ciphers_in_factorial_n.exe|169e2b03d7f66a691342cd8004f46401|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|67076|3|0|2097152|4096|1048576|4096|0|16|13|2.68551438092|0.0|6.16228842692|2323.69230769|0|12288|2060.76923077|24|12216|5|60|0|0|0|0|0|0|0|0|0|0|0|1
tim_sort.exe|ac32d847309aac6956a9c2e032cac8a1|332|224|263|2|28|12800|20480|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|70769|3|0|2097152|4096|1048576|4096|0|16|13|2.62377924456|0.0|6.10232354981|2323.69230769|0|12800|2038.92307692|24|12504|5|62|0|0|0|0|0|0|0|0|0|0|0|1
searching_of_element_in_dynamic_array.exe|e3c6b95cac344c962936c7fe0a40a52c|332|224|263|2|28|12288|20992|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|74328|3|0|2097152|4096|1048576|4096|0|16|13|2.58619535966|0.0|6.16000227285|2363.07692308|0|12288|2045.69230769|24|12184|5|65|0|0|0|0|0|0|0|0|0|0|0|1
topological_sort.exe|373ff7b2ef13c2cd123e1ac57ca1996b|332|224|263|2|28|28672|53248|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|102400|1024|197718|3|0|2097152|4096|1048576|4096|0|16|13|2.65057808762|0.0|6.0362188773|4844.30769231|0|28672|4600.15384615|24|28672|5|70|0|0|0|0|0|0|0|0|0|0|0|1
qr_decomposition.exe|6e70e668ba1513365d77a456634efc4b|332|224|263|2|28|16896|28672|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|99104|3|0|2097152|4096|1048576|4096|0|16|13|2.67334779862|0.0|6.08242067173|2953.84615385|0|16896|2668.46153846|24|16392|5|73|0|0|0|0|0|0|0|0|0|0|0|1
largest_power.exe|3ed56eb16fa28d8a9f4eed5636b5a8de|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|57269|3|0|2097152|4096|1048576|4096|0|16|13|2.65541074414|0.0|6.06838023419|2284.30769231|0|12288|1991.84615385|24|11880|5|59|0|0|0|0|0|0|0|0|0|0|0|1
